smiles	MOL_ID	INCHI_Key	MWT	nHeavy	nHBA	nHBD	nRB	Fsp3	nChiC	nRings	nArRings	TPSA	Halogen	logP	logD	QED	SFI	SAScore
Cc1noc(C)c1C#N	mol_ID_1	NBLIVFMKDQOTHN-UHFFFAOYSA-N	122.05	9.00	3.00	0.00	0.00	0.33	0.00	1.00	1.00	49.82	0.00	1.16	0.42	0.52	1.42	2.68
Brc1ccccn1	mol_ID_2	IMRWILPUOVGIMU-UHFFFAOYSA-N	156.95	7.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	12.89	1.00	1.84	1.10	0.52	2.10	1.99
C=Cc1cccnc1	mol_ID_3	DPZYLEIWHTWHCU-UHFFFAOYSA-N	105.06	8.00	1.00	0.00	1.00	0.00	0.00	1.00	1.00	12.89	0.00	1.72	0.98	0.53	1.98	2.17
Clc1ccccn1	mol_ID_4	OKDGRDCXVWSXDC-UHFFFAOYSA-N	113.00	7.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	12.89	1.00	1.73	0.99	0.47	1.99	1.72
N#Cc1cccnc1	mol_ID_5	GZPHSAQLYPIAIN-UHFFFAOYSA-N	104.04	8.00	2.00	0.00	0.00	0.00	0.00	1.00	1.00	36.68	0.00	0.95	0.21	0.49	1.21	1.96
Clc1cncnc1	mol_ID_6	ZLNPDTOTEVIMMY-UHFFFAOYSA-N	114.00	7.00	2.00	0.00	0.00	0.00	0.00	1.00	1.00	25.78	1.00	1.13	0.39	0.51	1.39	2.40
C#Cc1ncccn1	mol_ID_7	BMNUHRHTDNKJII-UHFFFAOYSA-N	104.04	8.00	2.00	0.00	0.00	0.00	0.00	1.00	1.00	25.78	0.00	0.46	-0.28	0.45	0.72	3.04
Brc1ncc[nH]1	mol_ID_8	AXHRGVJWDJDYPO-UHFFFAOYSA-N	145.95	6.00	1.00	1.00	0.00	0.00	0.00	1.00	1.00	28.68	1.00	1.17	0.43	0.59	1.43	3.55
Clc1cn[nH]c1	mol_ID_9	BADSZRMNXWLUKO-UHFFFAOYSA-N	102.00	6.00	1.00	1.00	0.00	0.00	0.00	1.00	1.00	28.68	1.00	1.06	0.32	0.52	1.32	3.39
C#Cc1cn[nH]c1	mol_ID_10	UXZQDYUBSQMFIE-UHFFFAOYSA-N	92.04	7.00	1.00	1.00	0.00	0.00	0.00	1.00	1.00	28.68	0.00	0.39	-0.35	0.46	0.65	3.58
C#Cc1c(C)noc1C	mol_ID_11	VRIFFHHNSRUZNX-UHFFFAOYSA-N	121.05	9.00	2.00	0.00	0.00	0.29	0.00	1.00	1.00	26.03	0.00	1.27	0.53	0.48	1.53	3.09
Clc1cccnc1	mol_ID_12	PWRBCZZQRRPXAB-UHFFFAOYSA-N	113.00	7.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	12.89	1.00	1.73	0.99	0.50	1.99	1.67
N#Cc1ccncc1	mol_ID_13	GPHQHTOMRSGBNZ-UHFFFAOYSA-N	104.04	8.00	2.00	0.00	0.00	0.00	0.00	1.00	1.00	36.68	0.00	0.95	0.21	0.49	1.21	1.99
Brc1ncccn1	mol_ID_14	PGFIHORVILKHIA-UHFFFAOYSA-N	157.95	7.00	2.00	0.00	0.00	0.00	0.00	1.00	1.00	25.78	1.00	1.24	0.50	0.53	1.50	2.79
C#Cc1cncnc1	mol_ID_15	GFVQKBROKWSUNG-UHFFFAOYSA-N	104.04	8.00	2.00	0.00	0.00	0.00	0.00	1.00	1.00	25.78	0.00	0.46	-0.28	0.45	0.72	2.92
Brc1c[nH]cn1	mol_ID_16	FHZALEJIENDROK-UHFFFAOYSA-N	145.95	6.00	1.00	1.00	0.00	0.00	0.00	1.00	1.00	28.68	1.00	1.17	0.43	0.59	1.43	3.81
Brc1cn[nH]c1	mol_ID_17	WVGCPEDBFHEHEZ-UHFFFAOYSA-N	145.95	6.00	1.00	1.00	0.00	0.00	0.00	1.00	1.00	28.68	1.00	1.17	0.43	0.59	1.43	3.43
C#Cc1ccn[nH]1	mol_ID_18	KUOWLAMMSCRRFS-UHFFFAOYSA-N	92.04	7.00	1.00	1.00	0.00	0.00	0.00	1.00	1.00	28.68	0.00	0.39	-0.35	0.46	0.65	3.85
C=Cc1c(C)noc1C	mol_ID_19	RYIHZFZTDJNDGM-UHFFFAOYSA-N	123.07	9.00	2.00	0.00	1.00	0.29	0.00	1.00	1.00	26.03	0.00	1.93	1.19	0.57	2.19	2.84
Clc1ccncc1	mol_ID_20	PVMNPAUTCMBOMO-UHFFFAOYSA-N	113.00	7.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	12.89	1.00	1.73	0.99	0.50	1.99	1.72
C=Cc1ccccn1	mol_ID_21	KGIGUEBEKRSTEW-UHFFFAOYSA-N	105.06	8.00	1.00	0.00	1.00	0.00	0.00	1.00	1.00	12.89	0.00	1.72	0.98	0.53	1.98	2.26
