Smiles	Molecule_ID	INCHIKEY	Bemis_Scaffold	Scaffold_Cluster	Framework	Framework_Cluster	Fragmented_SMILES	Ph4_features	Number_of_reactions
Cc1noc(C)c1C#N	mol_ID_1	NBLIVFMKDQOTHN-UHFFFAOYSA-N	c1cnoc1	1	C1CCCC1	1	.	RAAHH	0
Brc1ccccn1	mol_ID_2	IMRWILPUOVGIMU-UHFFFAOYSA-N	c1ccncc1	2	C1CCCCC1	2	.	RAH	0
N#Cc1cccnc1	mol_ID_5	GZPHSAQLYPIAIN-UHFFFAOYSA-N	c1ccncc1	2	C1CCCCC1	2	.	RAA	0
Clc1cncnc1	mol_ID_6	ZLNPDTOTEVIMMY-UHFFFAOYSA-N	c1cncnc1	3	C1CCCCC1	2	.	RAAH	0
Brc1ncc[nH]1	mol_ID_8	AXHRGVJWDJDYPO-UHFFFAOYSA-N	c1c[nH]cn1	4	C1CCCC1	1	.	RDAH	0
Clc1cn[nH]c1	mol_ID_9	BADSZRMNXWLUKO-UHFFFAOYSA-N	c1cn[nH]c1	5	C1CCCC1	1	.	RDAH	0
C#Cc1c(C)noc1C	mol_ID_11	VRIFFHHNSRUZNX-UHFFFAOYSA-N	c1cnoc1	1	C1CCCC1	1	.	RAHHH	0
Clc1cnccn1	mol_ID_23	GELVZYOEQVJIRR-UHFFFAOYSA-N	c1cnccn1	6	C1CCCCC1	2	.	RAAH	0
Ic1ncco1	mol_ID_26	QIXCSHIEHGEJGB-UHFFFAOYSA-N	c1cocn1	7	C1CCCC1	1	.	RAH	0
N#Cc1ccncn1	mol_ID_28	ZIEWSZYVEDTXGH-UHFFFAOYSA-N	c1cncnc1	3	C1CCCCC1	2	.	RAAA	0
N#Cc1ncco1	mol_ID_34	UUAXDPHPSHEGQQ-UHFFFAOYSA-N	c1cocn1	7	C1CCCC1	1	.	RAA	0
Clc1nc2ccccc2s1	mol_ID_35	BSQLQMLFTHJVKS-UHFFFAOYSA-N	c1ccc2scnc2c1	8	C1CCC2CCCC2C1	3	.	RRAH	0
N#Cc1ncc[nH]1	mol_ID_40	QMQZIXCNLUPEIN-UHFFFAOYSA-N	c1c[nH]cn1	4	C1CCCC1	1	.	RDAA	0
Brc1nccs1	mol_ID_43	RXNZFHIEDZEUQM-UHFFFAOYSA-N	c1cscn1	9	C1CCCC1	1	.	RAH	0
N#Cc1cnccn1	mol_ID_47	PMSVVUSIPKHUMT-UHFFFAOYSA-N	c1cnccn1	6	C1CCCCC1	2	.	RAAA	0
N#Cc1cn[nH]c1	mol_ID_49	NUGZBVBZIDWZAD-UHFFFAOYSA-N	c1cn[nH]c1	5	C1CCCC1	1	.	RDAA	0
C[n+]1cccc(Cl)c1	mol_ID_50	WGUDVGBIIATHCI-UHFFFAOYSA-N	c1cc[nH+]cc1	10	C1CCCCC1	2	.	RPHH	0
C#CCn1cccn1	mol_ID_55	IQMAASXLMDIWRF-UHFFFAOYSA-N	c1cn[nH]c1	5	C1CCCC1	1	*CC#C.*n1cccn1	RAH	0
C=Cn1ccnc1	mol_ID_56	OSSNTDFYBPYIEC-UHFFFAOYSA-N	c1c[nH]cn1	4	C1CCCC1	1	*C=C.*n1ccnc1	RAH	0
C[n+]1ccc(C#N)cc1	mol_ID_58	NQQUGKKTJLAUHC-UHFFFAOYSA-N	c1cc[nH+]cc1	10	C1CCCCC1	2	.	RAPH	0
N#Cc1nccs1	mol_ID_67	ZIRGWUZHKJDYKT-UHFFFAOYSA-N	c1cscn1	9	C1CCCC1	1	.	RAA	0
Cn1cc(I)c[n+]1C	mol_ID_79	CGKJVNDEOWHROX-UHFFFAOYSA-N	c1c[nH][nH+]c1	11	C1CCCC1	1	.	RPHHH	0
Cn1cc[n+](C)c1Br	mol_ID_80	BVUQSVSAXBSDPG-UHFFFAOYSA-N	c1c[nH+]c[nH]1	12	C1CCCC1	1	.	RPHHH	0
Clc1nc2ccccc2o1	mol_ID_87	BBVQDWDBTWSGHQ-UHFFFAOYSA-N	c1ccc2ocnc2c1	13	C1CCC2CCCC2C1	3	.	RRAH	0
C#Cc1nccn1C	mol_ID_91	BDHWWGOWOGACLG-UHFFFAOYSA-N	c1c[nH]cn1	4	C1CCCC1	1	.	RAHH	0
Ic1nc(-c2ccccc2)co1	mol_ID_92	QMZJDMNRLIZTAI-UHFFFAOYSA-N	c1ccc(-c2cocn2)cc1	14	C1CCC(C2CCCC2)CC1	4	*c1ccccc1.*c1coc(I)n1	RRAH	0
C[n+]1ccnc(I)c1	mol_ID_98	CXFJZYUMQXIIQM-UHFFFAOYSA-N	c1c[nH+]ccn1	15	C1CCCCC1	2	.	RAPHH	0
