Smiles	Mol_ID	mol_INCHYKEY	Analogue_Smiles	Analogue_Mol_ID	Analogue_mol_INCHYKEY	RMSD
Brc1ncc[nH]1	mol_ID_8	AXHRGVJWDJDYPO-UHFFFAOYSA-N	Brc1c[nH]cn1	mol_ID_16	FHZALEJIENDROK-UHFFFAOYSA-N	0.41
Brc1ncc[nH]1	mol_ID_8	AXHRGVJWDJDYPO-UHFFFAOYSA-N	Ic1ncc[nH]1	mol_ID_24	MHHDMDLNVVCTAJ-UHFFFAOYSA-N	0.12
Brc1ncc[nH]1	mol_ID_8	AXHRGVJWDJDYPO-UHFFFAOYSA-N	Ic1c[nH]cn1	mol_ID_32	BHCMXJKPZOPRNN-UHFFFAOYSA-N	0.50
Brc1ncc[nH]1	mol_ID_8	AXHRGVJWDJDYPO-UHFFFAOYSA-N	Clc1c[nH]cn1	mol_ID_53	BQRBAXFOPZRMCU-UHFFFAOYSA-N	0.37
Brc1ncc[nH]1	mol_ID_8	AXHRGVJWDJDYPO-UHFFFAOYSA-N	C=Cc1cnc[nH]1	mol_ID_64	MHQZDNQHLGFBRN-UHFFFAOYSA-N	0.45
Brc1ncc[nH]1	mol_ID_8	AXHRGVJWDJDYPO-UHFFFAOYSA-N	Clc1ncc[nH]1	mol_ID_71	OCVXSFKKWXMYPF-UHFFFAOYSA-N	0.09
N#Cc1ncc[nH]1	mol_ID_40	QMQZIXCNLUPEIN-UHFFFAOYSA-N	N#Cc1c[nH]cn1	mol_ID_48	NWVGXXPWOYZODV-UHFFFAOYSA-N	0.36
C=Cn1ccnc1	mol_ID_56	OSSNTDFYBPYIEC-UHFFFAOYSA-N	C#CCn1ccnc1	mol_ID_72	UGOQKSGJGCADAG-UHFFFAOYSA-N	0.12
Clc1cn[nH]c1	mol_ID_9	BADSZRMNXWLUKO-UHFFFAOYSA-N	C#Cc1cn[nH]c1	mol_ID_10	UXZQDYUBSQMFIE-UHFFFAOYSA-N	0.09
Clc1cn[nH]c1	mol_ID_9	BADSZRMNXWLUKO-UHFFFAOYSA-N	Brc1cn[nH]c1	mol_ID_17	WVGCPEDBFHEHEZ-UHFFFAOYSA-N	0.65
Clc1cn[nH]c1	mol_ID_9	BADSZRMNXWLUKO-UHFFFAOYSA-N	C#Cc1ccn[nH]1	mol_ID_18	KUOWLAMMSCRRFS-UHFFFAOYSA-N	0.47
Clc1cn[nH]c1	mol_ID_9	BADSZRMNXWLUKO-UHFFFAOYSA-N	Brc1ccn[nH]1	mol_ID_25	XHZWFUVEKDDQPF-UHFFFAOYSA-N	0.42
Clc1cn[nH]c1	mol_ID_9	BADSZRMNXWLUKO-UHFFFAOYSA-N	Ic1cn[nH]c1	mol_ID_33	LLNQWPTUJJYTTE-UHFFFAOYSA-N	0.34
Clc1cn[nH]c1	mol_ID_9	BADSZRMNXWLUKO-UHFFFAOYSA-N	Ic1ccn[nH]1	mol_ID_41	RUKDVLFJSMVBLV-UHFFFAOYSA-N	0.41
Clc1cn[nH]c1	mol_ID_9	BADSZRMNXWLUKO-UHFFFAOYSA-N	C=Cc1cn[nH]c1	mol_ID_65	UMRPGBHVNGOFMG-UHFFFAOYSA-N	0.21
Clc1cn[nH]c1	mol_ID_9	BADSZRMNXWLUKO-UHFFFAOYSA-N	C=Cc1ccn[nH]1	mol_ID_73	YPIINMAYDTYYSQ-UHFFFAOYSA-N	0.21
C#CCn1cccn1	mol_ID_55	IQMAASXLMDIWRF-UHFFFAOYSA-N	C=Cn1cccn1	mol_ID_57	NWHSSMRWECHZEP-UHFFFAOYSA-N	0.67
N#Cc1ncco1	mol_ID_34	UUAXDPHPSHEGQQ-UHFFFAOYSA-N	N#Cc1cocn1	mol_ID_42	UEEBKQWDBWDPKD-UHFFFAOYSA-N	0.56
Brc1nccs1	mol_ID_43	RXNZFHIEDZEUQM-UHFFFAOYSA-N	Brc1cncs1	mol_ID_51	DWUPYMSVAPQXMS-UHFFFAOYSA-N	0.66
Brc1nccs1	mol_ID_43	RXNZFHIEDZEUQM-UHFFFAOYSA-N	Ic1nccs1	mol_ID_59	VAQSRTGFMKWNIH-UHFFFAOYSA-N	0.41
Brc1nccs1	mol_ID_43	RXNZFHIEDZEUQM-UHFFFAOYSA-N	C=Cc1nccs1	mol_ID_83	JDCUKFVNOWJNBU-UHFFFAOYSA-N	0.50
Brc1nccs1	mol_ID_43	RXNZFHIEDZEUQM-UHFFFAOYSA-N	C#Cc1nccs1	mol_ID_85	CDFUVXUAFYQGMT-UHFFFAOYSA-N	0.52
Brc1nccs1	mol_ID_43	RXNZFHIEDZEUQM-UHFFFAOYSA-N	C#Cc1cncs1	mol_ID_86	JWFJFVXHZUVMSF-UHFFFAOYSA-N	0.17
N#Cc1nccs1	mol_ID_67	ZIRGWUZHKJDYKT-UHFFFAOYSA-N	N#Cc1cncs1	mol_ID_75	XWXPRCDFFCVMNT-UHFFFAOYSA-N	0.10
Cn1cc(I)c[n+]1C	mol_ID_79	CGKJVNDEOWHROX-UHFFFAOYSA-N	C#Cc1cc[n+](C)n1C	mol_ID_105	KQIINLALKVYVSD-UHFFFAOYSA-N	0.34
Cn1cc(I)c[n+]1C	mol_ID_79	CGKJVNDEOWHROX-UHFFFAOYSA-N	C=Cc1cc[n+](C)n1C	mol_ID_106	RGGYXESXCZRPIW-UHFFFAOYSA-N	0.36
Cn1cc(I)c[n+]1C	mol_ID_79	CGKJVNDEOWHROX-UHFFFAOYSA-N	Cn1c(Br)cc[n+]1C	mol_ID_107	FJXDSYCGPUWXNR-UHFFFAOYSA-N	0.22
Cn1cc(I)c[n+]1C	mol_ID_79	CGKJVNDEOWHROX-UHFFFAOYSA-N	Cn1cc(Br)c[n+]1C	mol_ID_124	PVCMMUAMPCOQDW-UHFFFAOYSA-N	0.33
Cn1cc(I)c[n+]1C	mol_ID_79	CGKJVNDEOWHROX-UHFFFAOYSA-N	C#Cc1cn(C)[n+](C)c1	mol_ID_125	XMZORIHGFAUARA-UHFFFAOYSA-N	0.10
Cn1cc(I)c[n+]1C	mol_ID_79	CGKJVNDEOWHROX-UHFFFAOYSA-N	Cn1cc(Cl)c[n+]1C	mol_ID_131	SZSSZCNINLAHSY-UHFFFAOYSA-N	0.43
Cn1cc[n+](C)c1Br	mol_ID_80	BVUQSVSAXBSDPG-UHFFFAOYSA-N	Cn1cc(Br)[n+](C)c1	mol_ID_81	RBANULMALHFXIH-UHFFFAOYSA-N	0.08
Cn1cc[n+](C)c1Br	mol_ID_80	BVUQSVSAXBSDPG-UHFFFAOYSA-N	Cn1cc[n+](C)c1Cl	mol_ID_104	LHTLRZAQHITLCY-UHFFFAOYSA-N	0.42
