SMILES_1	Mol_ID_1	Reaction_names
Cc1noc(C)c1C#N	mol_ID_1	"tetrazole-1	oxadiazole-1	124-triazole-1	124-triazole-2	tetrazole-2	124-triazole-3"
Brc1ccccn1	mol_ID_2	"5-het-arylation	castro-stephens-2	sonogashira	suzuki	negishi	stille	heck	stille-2	thioether-2	123-triazole-1	suzuki-2	decarboxylative_coupling-1	goldberg-1	ether-1	goldberg-2	123-triazole-3	amination-1"
N#Cc1cccnc1	mol_ID_5	"tetrazole-1	oxadiazole-1	124-triazole-1	124-triazole-2	tetrazole-2	124-triazole-3"
Clc1cncnc1	mol_ID_6	"sonogashira	suzuki	negishi	stille	heck	stille-2	thioether-2	123-triazole-1	suzuki-2	decarboxylative_coupling-1	goldberg-1	ether-1	goldberg-2	123-triazole-3	amination-1"
Brc1ncc[nH]1	mol_ID_8	"5-het-arylation	castro-stephens-2	sonogashira	suzuki	negishi	stille	alkylation-2	heck	stille-2	thioether-2	123-triazole-1	suzuki-2	123-triazole-3	amination-1	N-azole-arylation"
Clc1cn[nH]c1	mol_ID_9	"sonogashira	suzuki	negishi	stille	alkylation-2	heck	stille-2	thioether-2	123-triazole-1	suzuki-2	123-triazole-3	amination-1	N-azole-arylation"
C#Cc1c(C)noc1C	mol_ID_11	"castro-stephens-2	sonogashira	acylation-1	castro-stephens-1	123-triazole-4	oxazole-2	diyne	123-triazole-1	benzofuran-1	123-triazole-3	benzothiophene	123-triazole-2"
Clc1cnccn1	mol_ID_23	"sonogashira	suzuki	negishi	stille	heck	stille-2	thioether-2	123-triazole-1	suzuki-2	decarboxylative_coupling-1	goldberg-1	ether-1	goldberg-2	123-triazole-3	amination-1"
Ic1ncco1	mol_ID_26	"castro-stephens-2	sonogashira	suzuki	negishi	stille	heck	stille-2	thioether-2	123-triazole-1	suzuki-2	123-triazole-3	amination-1"
N#Cc1ccncn1	mol_ID_28	"tetrazole-1	oxadiazole-1	124-triazole-1	124-triazole-2	tetrazole-2	124-triazole-3"
N#Cc1ncco1	mol_ID_34	"tetrazole-1	oxadiazole-1	124-triazole-1	124-triazole-2	tetrazole-2	124-triazole-3"
Clc1nc2ccccc2s1	mol_ID_35	"5-het-amination	sonogashira	suzuki	negishi	stille	heck	stille-2	thioether-2	123-triazole-1	suzuki-2	123-triazole-3	amination-1"
N#Cc1ncc[nH]1	mol_ID_40	"tetrazole-1	oxadiazole-1	alkylation-2	124-triazole-1	124-triazole-2	tetrazole-2	124-triazole-3	N-azole-arylation"
Brc1nccs1	mol_ID_43	"5-het-amination	5-het-arylation	castro-stephens-2	sonogashira	suzuki	negishi	stille	heck	stille-2	thioether-2	123-triazole-1	suzuki-2	123-triazole-3	amination-1"
N#Cc1cnccn1	mol_ID_47	"tetrazole-1	oxadiazole-1	124-triazole-1	124-triazole-2	tetrazole-2	124-triazole-3"
