Product_SMILES	reaction_name	SMILES_1	Mol_ID_1	SMILES_2	Mol_ID_2	SMILES_3	Mol_ID_3
N#Cc1cc(I)c(O)c(Nc2ncco2)c1	amination-1	Ic1ncco1	mol_ID_26	N#Cc1cc(N)c(O)c(I)c1	phenols_2I_38766912	No_3rd_Reactant	No_3rd_Reactant
CSc1ccc([C@H](C)Nc2cncnc2)cc1Br	amination-1	Clc1cncnc1	mol_ID_6	CSc1ccc([C@H](C)N)cc1Br	thianisoles_2I_39787666	No_3rd_Reactant	No_3rd_Reactant
Cc1cc2ccccc2nc1NC(=O)Nc1cc(=O)n(-c2ccccc2)[nH]1	urea-2	Cc1cc2ccccc2nc1N	mol_ID_148	Nc1cc(=O)n(-c2ccccc2)[nH]1	pyrazolones_1846904	No_3rd_Reactant	No_3rd_Reactant
Cc1noc(C)c1C1=CN(c2ccc(C(=O)C(C)N(C)CCC#N)s2)N=N1	123-triazole-1	C#Cc1c(C)noc1C	mol_ID_11	CC(C(=O)c1ccc(Cl)s1)N(C)CCC#N	nitriles_38735478	No_3rd_Reactant	No_3rd_Reactant
Nc1nc(Nc2nccs2)ncc1C=O	5-het-amination	Brc1nccs1	mol_ID_43	Nc1ncc(C=O)c(N)n1	anilines_2formyl_1882384	No_3rd_Reactant	No_3rd_Reactant
CC/C=C/C=C/COC(=O)N1CC=C(c2ccc(OC)cc2)CC1	carbamate-2	COc1ccc(C2=CCNCC2)cc1	mol_ID_154	CC/C=C/C=C/CO	dienes_14_substituted_474286	No_3rd_Reactant	No_3rd_Reactant
CNC(=O)c1ccc(N)c(NC(=O)c2cc3c(s2)CC[C@H](C)C3)c1	amide_coupling-1	C[C@H]1CCc2sc(C(=O)O)cc2C1	mol_ID_215	CNC(=O)c1ccc(N)c(N)c1	anilines_2NH2_38758217	No_3rd_Reactant	No_3rd_Reactant
O=c1[nH]cnc2cc(OC3CCC3)c(Nc3cnccn3)cc12	goldberg-1	Clc1cnccn1	mol_ID_23	Nc1cc2c(=O)[nH]cnc2cc1OC1CCC1	quinazolinones_38802442	No_3rd_Reactant	No_3rd_Reactant
Nc1nnc(SCC2=NNC(c3ccncn3)=N2)n1C1CC1	124-triazole-3	N#Cc1ccncn1	mol_ID_28	Nc1nnc(SCC(=O)O)n1C1CC1	carboxylates_38740179	No_3rd_Reactant	No_3rd_Reactant
Cn1cc[n+](C)c1-c1cccc2[nH]ccc12	stille	Cn1cc[n+](C)c1Br	mol_ID_80	CCCC[Sn](CCCC)(CCCC)c1cccc2[nH]ccc12	organostannanes_48198397	No_3rd_Reactant	No_3rd_Reactant
CNC(=O)c1ccc(NC(=O)N2CCC(c3c[nH]c4cc(F)ccc34)CC2)c(N)c1	urea-2	Fc1ccc2c(C3CCNCC3)c[nH]c2c1	mol_ID_240	CNC(=O)c1ccc(N)c(N)c1	anilines_2NH2_38758217	No_3rd_Reactant	No_3rd_Reactant
C=C/C=C/CCC1=NNC(c2cn[nH]c2)=N1	124-triazole-3	N#Cc1cn[nH]c1	mol_ID_49	C=C/C=C/CCC(=O)O	dienes_1_substituted_2795240	No_3rd_Reactant	No_3rd_Reactant
CC(=O)CN1CCCC(NC(=O)c2cc3c(s2)CC[C@H](C)C3)C1	amide_coupling-1	C[C@H]1CCc2sc(C(=O)O)cc2C1	mol_ID_215	CC(=O)CN1CCCC(N)C1	amines_prim_38737526	No_3rd_Reactant	No_3rd_Reactant
CCCC(CC)N(c1nc2ccccc2o1)c1nc(Cl)c(C(=O)OC)s1	amination-1	Clc1nc2ccccc2o1	mol_ID_87	CCCC(CC)Nc1nc(Cl)c(C(=O)OC)s1	esters_38741562	No_3rd_Reactant	No_3rd_Reactant
Brc1ccc(CNc2cc(C3=NNC(CCN4CCc5ccccc54)=N3)ccn2)s1	124-triazole-3	N#CCCN1CCc2ccccc21	mol_ID_177	O=C(O)c1ccnc(NCc2ccc(Br)s2)c1	carboxylates_aryl_38740203	No_3rd_Reactant	No_3rd_Reactant
c1ccc2oc(N(Cc3nnn[nH]3)CC3CCCC3)nc2c1	5-het-amination	Clc1nc2ccccc2o1	mol_ID_87	C1CCC(CNCc2nnn[nH]2)C1	tetrazoles_1H_38766109	No_3rd_Reactant	No_3rd_Reactant
CSc1ccc([C@H](C)Nc2ncco2)cc1Br	amination-1	Ic1ncco1	mol_ID_26	CSc1ccc([C@H](C)N)cc1Br	thianisoles_2I_39787666	No_3rd_Reactant	No_3rd_Reactant
O=C(O)CC(=O)c1ccccc1C1=NNC(CCN2CCc3ccccc32)=N1	124-triazole-3	N#CCCN1CCc2ccccc21	mol_ID_177	O=C(O)CC(=O)c1ccccc1C(=O)O	benzoicacids_2acyl_1848587	No_3rd_Reactant	No_3rd_Reactant
CC(NS(=O)(=O)c1ccc(NC(C)c2ccc3c(c2)CCCN3)c(Br)c1)C(N)=O	amination-2	CC(=O)c1ccc2c(c1)CCCN2	mol_ID_172	CC(NS(=O)(=O)c1ccc(N)c(Br)c1)C(N)=O	anilines_2I_38758245	No_3rd_Reactant	No_3rd_Reactant
CC(Oc1cccc(-c2ncc[nH]2)c1)C(=O)Cl	negishi	Brc1ncc[nH]1	mol_ID_8	CC(Oc1cccc(Cl)c1)C(=O)Cl	acid_chlorides_38870835	No_3rd_Reactant	No_3rd_Reactant
COc1ccc(CN2CCN(C(=O)Nc3ccc(CCC(C)C)cc3C(=O)O)CC2)cc1F	urea-2	COc1ccc(CN2CCNCC2)cc1F	mol_ID_228	CC(C)CCc1ccc(N)c(C(=O)O)c1	anilines_2COOH_38746325	No_3rd_Reactant	No_3rd_Reactant
