SMILES_1	Mol_ID_1	Number_of_reactions
N[C@H]1c2ccccc2C[C@H]1CO	mol_ID_181	27
Oc1ccc(C2CCNCC2)cc1	mol_ID_229	22
Nc1ccc(SC(F)F)cc1	mol_ID_151	21
Cc1cc2ccccc2nc1N	mol_ID_148	19
CC(=O)c1ccc2c(c1)CCCN2	mol_ID_172	19
COc1ccc(C2=CCNCC2)cc1	mol_ID_154	18
Cc1cc(N)no1	mol_ID_226	18
C[C@H](CN)N1CCc2sccc2C1	mol_ID_217	18
NC(c1ccccc1)c1ccccc1	mol_ID_166	18
CC(=O)c1ccc2c(c1)CNCC2	mol_ID_206	18
NCC1(c2ccccc2)CCOCC1	mol_ID_237	18
Brc1ccccn1	mol_ID_2	17
CN(C)c1cc(CN)ccn1	mol_ID_170	17
N[C@H]1CCc2ccccc21	mol_ID_147	17
C[n+]1ccnc(I)c1	mol_ID_98	16
O=C(CN1CCCC1)c1ccccc1Cl	mol_ID_223	16
Fc1ccc2c(C3CCNCC3)c[nH]c2c1	mol_ID_240	15
Clc1cncnc1	mol_ID_6	15
Clc1cnccn1	mol_ID_23	15
C[C@H]1C(=O)NC(=O)N1c1ccc(Cl)cc1	mol_ID_168	15
Brc1ncc[nH]1	mol_ID_8	15
C[n+]1cccc(Cl)c1	mol_ID_50	15
c1cnc2c(c1)NCCC2	mol_ID_200	14
O=C1CNCCN1c1ccccc1	mol_ID_157	14
Brc1nccs1	mol_ID_43	14
Cn1cc[n+](C)c1Br	mol_ID_80	14
C[n+]1csc(Br)c1	mol_ID_130	13
COc1ccccc1CC1CCNCC1	mol_ID_213	13
c1ccc2c(N3CCNCC3)ccnc2c1	mol_ID_174	13
C#CCn1cc[n+](C)c1	mol_ID_128	13
Ic1nc(-c2ccccc2)co1	mol_ID_92	13
O=C1NC2(CCCC2)Nc2ccccc21	mol_ID_214	13
COc1ccccc1N1CCNCC1	mol_ID_220	13
O=C(c1ccncc1)N1CCNCC1	mol_ID_236	13
c1ccc2oc([C@H]3CCCNC3)nc2c1	mol_ID_197	13
O=C(c1ccccc1F)N1CCNCC1	mol_ID_165	13
COc1ccccc1C1CCNCC1	mol_ID_225	13
COc1ccc(CN2CCNCC2)cc1F	mol_ID_228	13
