Query_SMILES	Query_ID	Analogues_SMILES	Analogues_ID	MGT_layer	ChemicalSpace	maccs	pharm2d
Cc1noc(C)c1C#N	mol_ID_1	Cc1noc(C)c1C#N	mol_ID_1	2ndMGT_scafhop	SpotX_std_scaffold.txt	1.00	1.00
C#Cc1cn[nH]c1	mol_ID_10	Clc1cn[nH]c1	mol_ID_9	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.76	1.00
C#Cc1cn[nH]c1	mol_ID_10	C#Cc1cn[nH]c1	mol_ID_10	2ndMGT_scafhop	SpotX_std_scaffold.txt	1.00	1.00
C#Cc1cn[nH]c1	mol_ID_10	Brc1cn[nH]c1	mol_ID_17	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.76	1.00
C#Cc1cn[nH]c1	mol_ID_10	C#Cc1ccn[nH]1	mol_ID_18	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.94	0.67
C#Cc1cn[nH]c1	mol_ID_10	Brc1ccn[nH]1	mol_ID_25	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.73	0.67
C#Cc1cn[nH]c1	mol_ID_10	Ic1cn[nH]c1	mol_ID_33	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.76	1.00
C#Cc1cn[nH]c1	mol_ID_10	Ic1ccn[nH]1	mol_ID_41	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.73	0.67
C#Cc1cn[nH]c1	mol_ID_10	C=Cc1cn[nH]c1	mol_ID_65	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.84	1.00
C#Cc1cn[nH]c1	mol_ID_10	C=Cc1ccn[nH]1	mol_ID_73	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.80	0.67
C[n+]1ccccc1Br	mol_ID_100	Brc1ccccn1	mol_ID_2	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.57	1.00
C[n+]1ccccc1Br	mol_ID_100	Clc1ccccn1	mol_ID_4	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.50	1.00
C[n+]1ccccc1Br	mol_ID_100	Ic1ccccn1	mol_ID_52	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.50	1.00
C[n+]1ccccc1Br	mol_ID_100	C[n+]1ccccc1Cl	mol_ID_54	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.92	1.00
C[n+]1ccccc1Br	mol_ID_100	C[n+]1ccccc1Br	mol_ID_100	2ndMGT_scafhop	SpotX_std_scaffold.txt	1.00	1.00
C[n+]1ccccc1Br	mol_ID_100	C=Cc1cccc[n+]1C	mol_ID_108	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.76	1.00
C[n+]1ccccc1Br	mol_ID_100	C#Cc1cccc[n+]1C	mol_ID_114	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.79	1.00
C[n+]1ccccc1Br	mol_ID_100	C[n+]1ccccc1I	mol_ID_142	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.92	1.00
C#Cc1c[n+](C)ccn1	mol_ID_101	C[n+]1ccnc(I)c1	mol_ID_98	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.80	1.00
